number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
17998182,1708982048,10226805916623846957733,4168010503442910833875654129,0,10226805916623746957673,194397552620084053872985,538008621233460338723,4168008784382137638332327128,1348756457373625844877604,570639024512524756479330193695958219158,2477424014961457221751563038000658692,-3941441541082,-3943987379302,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18000582,1708982052,7670480545305599283587,4167684945538446847935294040,2556722172638830439092,10227202717944329718739,194420281185370240489050,537987471246382048461,4174832966775960060884034990,1348756457373625844877604,570639327264617673436649828969801215945,2477513048009257540405740748182726136,-3943147010170,-3945691155094,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8391674788789819579198,12052247400151771431,8391674788789819579198,12052247400151771431,0.0,0.0,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,194065277576750292549332,552889053808695116370,1708982051,-236748,56581701727828008,327866112482406212
18002982,1709010988,7670499743743404731727,4167695376832776717667634751,2556722172638830439092,10227221916382135166692,194420159535830044032550,537989827683743229027,4198939390493444764294405442,1714990638571862423866014,570658465879399887032980861864090502135,2477878238369586338951781150108005425,-3944851090606,-3947392314058,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8392513956268698561155,12051042295922179213,8391674788789819579198,12052247400151771431,9.999999999998899e-05,-9.999000099991662e-05,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,194065277576750292549332,552891073624321598797,1709010987,-1704653906,75780139533276148,327866112482406212
18005382,1709039925,7670634839885648795376,4198873182948367358091477799,2556722172638830439092,10227357012524379229020,192979084667355752777740,542021595977263344813,4204231089501474711675342148,1665958413176292228814096,570675376385495023593962909474511058018,2477994083792347252620775575447142277,-3946555969618,-3949094192614,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8397130877639422927019,12044416376244815874,8391674788789819579198,12052247400151771431,0.000650178776814947,-0.0006497563190460687,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192985096945523816945434,555916722557499230723,1709039924,-3409129439,210876281777339797,327866112482406212
18007782,1709068897,7670775162980729748692,4198949995219213575614747188,2556722172638830439092,10227497335619460180964,192978202156075131445261,542038948344561510703,4208681782476437507208844991,1665958413176292228814096,570709890403430358580671263205341205857,2478148622214172689476471354709719748,-3948265357210,-3950802558934,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8397550723687416088997,12043814200588801493,8391674788789819579198,12052247400151771431,0.0007002100350035345,-0.0006997200839790052,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192985096945523816945434,555931596164344408800,1709068896,-5111349957,351199376858293113,327866112482406212
18010182,1709097989,7670966791346884193581,4199054891779215916209787366,2556722172638830439092,10227688963985614623979,192976997031027709831882,542062645566062842793,4194125208690886929324457471,1665550269898520561336106,570800709143671966154249828742951216683,2478216193893981858104267271185643769,-3949973992054,-3952510191202,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8398810387786259587998,12042007854253886554,8391674788789819579198,12052247400151771431,0.000850318819072049,-0.0008495963912719118,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192985096945523816945434,555951908334971397822,1709097988,-6820591727,542827743012738002,327866112482406212
18012582,1709127081,7671222672650528016233,4199194960126401627408835787,2556722172638830439092,10227944845289258444129,192975387921764218966899,542094289250452409833,4197272968168777322519528257,1665550269898520561336106,570831901999635429584206789050839039040,2478344152465157969355857149810752519,-3951671682526,-3954210228982,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8400910247863525519327,12038997879049151894,8391674788789819579198,12052247400151771431,0.0011005501650329652,-0.0010993402858999746,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192985096945523816945434,555979031961876732772,1709127080,-8529833324,798709046656560654,327866112482406212
18014982,1709156005,7671521248791755009427,4199358399447740109432874582,2556722172638830439092,10228243421430485434403,192973510461769857360344,542131213956237566112,4221577961572371093672332149,1392940328919116940255812,570859207859482418515937439469701462907,2478735898161695260100353156818835016,-3953384370718,-3955920017722,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8400070240839441575170,12040201778837056809,8391674788789819579198,12052247400151771431,0.0010004501200209237,-0.0009994502199285327,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192985096945523816945434,556010682420178591968,1709156004,-10229175378,1097285187883553848,327866112482406212
18017382,1709185158,7671930194289118062082,4221680651732169814461386327,2556722172638830439092,10228652366927848483059,191960832398908571267646,545034775771547153044,4211552361062848226462862095,1392477604684023838447944,570913554675285335760329719222718508991,2478760330725875755103284326951520706,-3955084126966,-3957617758642,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8404271116050890282429,12034183483556582310,8391674788789819579198,12052247400151771431,0.0015010504551364878,-0.0014988006796941011,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192227473279120116925648,558193896879854862478,1709185157,-11941942031,1506230685246606503,327866112482406212
18019782,1709214106,7672352248718530382390,4221912898242957176142827773,2556722172638830439092,10229074421357260799241,191958192923183295735243,545087250115639429560,4188148351673628035554715093,1391298549348276593337604,571021316932786948267121547348525592725,2478760675564656602647005011231668757,-3956792624854,-3959329412266,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8404271116050890282429,12034785177688782874,8391674788789819579198,12052247400151771431,0.0015010504551364878,-0.0014488768677921593,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,192227473279120116925648,558238876542954870576,1709214105,-13639596360,1928285114658926811,327866112482406212
18022182,1709243247,7672863293455914150701,4188611032121185510393533147,2556722172638830439092,10229585466094644562554,193494037413845575391697,540814694895848484724,4181548437623483334573775671,1391298549348276593337604,571145531257412768518418072877875718786,2479022695424374621509364886116295210,-3958500768310,-3961040861470,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8400490233851920717779,12040201778837056809,8391674788789819579198,12052247400151771431,0.0010504988913389024,-0.0009994502199285327,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,193381854795522101351692,555040984887252652925,1709243246,-15348540190,2439329852042695122,327866112482406212
18024582,1709272351,7673455333200562627345,4188934226228918907502103576,2556722172638830439092,10230177505839293033409,193490306175581693991309,540887726468375501841,4161919426555403800038558573,1371755147490069375517324,571239154144141987119645620451930634584,2479028604465337902054702346453167843,-3960203727202,-3962745863110,1,2,18048582,18048582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8400070240839441575170,12040201778837056809,8391674788789819579198,12052247400151771431,0.0010004501200209237,-0.0009994502199285327,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,193381854795522101351692,555103586866121488568,1709272350,-17059941096,3031369596691171766,327866112482406212
