number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
18654791,1709138560,10226805916623846957721,4301821082038118709878106627,0,10226805916623746957676,188350706761664106204597,555280949323083021793,4301823225423852828395669961,374668107649632228586207,615535904155437465675411539093050031165,2596517968311567941007574770625392680,-4413812524606,-4416328948318,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18657191,1709138564,5116197355896296161685,4319167286149540698555875526,5113415673486133921475,10229613029382330055667,187645763605618885355395,557673036258065732437,4273990756622485911802842011,374642997148121174410442,615841694118835872781973213569631491205,2597046091759152639294521812774432484,-4415506849750,-4418027541154,1,2,18661991,18661991,2891774534145362804,53827944089370301245204,935871461511530240,51449819240746501275648,986021816067943586576,221683798409434961956,986021816067943586576,221683798409434961956,0.0,0.0,3747396398375407148984,168988834931153285989349,17637375365380480318,148702242795005855947,0,0,0,0,0,0,0,0,0,0,0,0,266584625872579762461390,445251958770249167952,1709138563,-226399,728659699220260367,1480254614937692437
18659591,1709167657,5116413903542115875546,4274774029419497803523788642,5113415673486133921475,10229829577028149767410,189598466408779176020367,551952846229320778849,4352942151063806837758084238,378236491391899138343522,616022686705909132787143587164482582316,2598606311461919073470325650208763324,-4417199581126,-4419718277638,1,2,18661991,18661991,2891774534145362804,53827944089370301245204,935871461511530240,51449819240746501275648,985134839980654863664,221883393652795113379,986021816067943586576,221683798409434961956,-0.0008995501649504689,0.0009003600840125081,3747396398375407148984,168988834931153285989349,17637375365380480318,148702242795005855947,0,0,0,0,0,0,0,0,0,0,0,0,267563248956732634345927,442396926376828915102,1709167656,-1693118633,945207345039974228,1480254614937692437
18661991,1709196702,5116903733571160023769,4352296699318307647042266081,5113415673486133921475,10230319407057193910844,186230274393313187866431,561989373163749002995,4315550785008477543094264252,379438242172782790917641,616547782168995630535467818725599621580,2599682112947522932683895303872397758,-4418897623834,-4421411163406,1,2,18661991,18661991,2891774534145362804,53827944089370301245204,935871461511530240,51449819240746501275648,986021816067943586576,221694882322264540063,986021816067943586576,221683798409434961956,0.0,4.9998750062396624e-05,3747396398375407148984,168988834931153285989349,17637375365380480318,148702242795005855947,0,0,0,0,0,0,0,0,0,0,0,0,265883116429691862905823,447430110778358072773,1709196701,-3389198876,1435037374084122451,1480254614937692437
18664391,1709225800,5191834036543773856184,4339881357322227848759988388,5188263685690271529076,10380097722233943886293,189497362148749325833734,568590652140840007604,4379864448403358763700726843,383301696362593890022040,617281015124008228223334145479018886505,2602741427363198331194277423995465074,-4420586439658,-4423096393114,3,4,18669191,18669191,3453338894198966088,46403945234398333231357,1107319910746315392,81104956492175141502976,850028793163109076486,264733392670019204523,850028793163109076486,264733392670019204523,0.0,0.0,3230552089321453614552,182432884565129509056926,21052150443632972046,177579279655140418441,0,0,1,1,0,0,2891774534145362804,53827944089370301245204,0,0,-11279154751396951,146172125083243660733,280444707598728981981576,483024542730290687374,1709225799,-5077893449,2943630047685253545,2982176569780233937
18666791,1709254845,5193077402293317450122,4380374039477607551403808008,5188263685690271529076,10381341087983487468073,187768115558655384151830,573964554442088267437,4413535930534076352491843460,400261157422449480983508,617648824578933987801572772891235003382,2604304555865379018397708124561565987,-4422275697274,-4424776923622,3,4,18669191,18669191,3453338894198966088,46403945234398333231357,1107319910746315392,81104956492175141502976,850326340431335326776,264640756826517903204,850028793163109076486,264733392670019204523,0.00035004375218750106,-0.00034992126443511573,3230552089321453614552,182432884565129509056926,21052150443632972046,177579279655140418441,0,0,1,1,0,0,2891774534145362804,53827944089370301245204,0,0,-11279154751396951,146172125083243660733,279591027465192709504681,485746777926106247742,1709254844,-6765198916,4186995797228847483,2982176569780233937
18669191,1709283878,5194522091647604101977,4414335723005216681692458393,5188263685690271529076,10382785777337774105802,186349451091972920148976,578495079359700846941,4394671569614839289010287907,401027387876498439261187,618482517474527021189940061125649238316,2606686149302398822944204138380531012,-4423957617358,-4426450635970,3,4,18669191,18669191,3453338894198966088,46403945234398333231357,1107319910746315392,81104956492175141502976,850411373065378460309,264614295396978205384,850028793163109076486,264733392670019204523,0.00045007875656266627,-0.00044987627680748155,3230552089321453614552,182432884565129509056926,21052150443632972046,177579279655140418441,0,0,1,1,0,0,2891774534145362804,53827944089370301245204,0,0,-11279154751396951,146172125083243660733,278894324897997075806923,488053318798658173978,1709283877,-8446406134,5631685151515499338,2982176569780233937
18671591,1709312915,5339970726016747250031,4420969125531981126638748904,5335481122703950688598,10675451848720593551622,191314711767380423908650,595695287213051988496,4364240307668072471005706480,384729286861362736105907,618854200640107570565230313931893305582,2607426116618050530353389084522190449,-4425633948862,-4428134562718,5,6,18676391,18676391,3895278880656971904,43506950537512649660606,1249048801819297792,95250006959001140461568,796961561625905614843,298612567450143056312,796961561625905614843,298612567450143056312,0.0,0.0,3028868973295380214203,190252040352290146820591,23746312908606822544,200304933536908215717,0,0,2,2,0,0,6345113428344328892,100231889323768634476561,0,0,2163290176660499636,432147489084098617148,288978494286973300797645,522024151051427757315,1709312914,-10123331615,7979107069690422069,4526715691787262520
18673991,1709341984,5341920317774828777579,4366600721689297042582378100,5335481122703950688598,10677401440478675060107,193732138675828706247590,588476967736898961958,4383714674446241448679417237,401812626916757418377641,619001881957767000121505213618000862491,2608122440857194712389542281969236469,-4427312226322,-4429818879262,5,6,18676391,18676391,3895278880656971904,43506950537512649660606,1249048801819297792,95250006959001140461568,796204845474618379353,298896369984190904722,796961561625905614843,298612567450143056312,-0.0009495014411278202,0.000950403850953796,3028868973295380214203,190252040352290146820591,23746312908606822544,200304933536908215717,0,0,2,2,0,0,6345113428344328892,100231889323768634476561,0,0,2163290176660499636,432147489084098617148,290205395453362394126222,518467176016046705245,1709341983,-11801273128,9928698827771949617,4526715691787262520
18676391,1709370992,5343907444281449869605,4368225041694413476492455168,5335481122703950688598,10679388566985296132702,193696140849438981633734,588805433420108264003,4369084937280530461658129343,401521016756101548230909,619293540523779963923714447725877485565,2608827207065463763847634913120763005,-4428993673834,-4431496774150,5,6,18676391,18676391,3895278880656971904,43506950537512649660606,1249048801819297792,95250006959001140461568,795846651803160188262,299030896890734507869,796961561625905614843,298612567450143056312,-0.0013989505597621354,0.0014009103641001719,3028868973295380214203,190252040352290146820591,23746312908606822544,200304933536908215717,0,0,2,2,0,0,6345113428344328892,100231889323768634476561,0,0,2163290176660499636,432147489084098617148,290205395453362394126222,518686254728139915453,1709370991,-13482857588,11915825334393041643,4526715691787262520
