number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
18654791,1709136299,10226805916623846957721,4301821082038118709878106627,0,10226805916623746957676,188350706761664106204597,555280949323083021793,4301823225423852828395669961,374668107649632228586207,615535904155437465675411539093050031165,2596517968311567941007574770625392680,-4413812524606,-4416328948318,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18657191,1709136303,2566195746375044268479,4255080108838608476056308917,7670441387598692959746,10236637133973637132049,190602745354982483328920,549775605894276548199,4273990756622485911802842011,374642997148121174410442,615841694118835872781973213569631491205,2597046091759152639294521812774432484,-4415506849750,-4418027541154,1,2,18661991,18661991,354084748036063826158,4892377973320351545282,956734465513348661248,1573321920182134505472,331477990734907983162602,1969630483103812764,331477990734907983162602,1969630483103812764,0.0,0.0,38899956231400912240526,25280208745928492401307,1454171506966417521123,5861284167102748834,0,0,0,0,0,0,0,0,0,0,0,0,111961867891662817854454,1597854597537534255573,1709136302,-272899,795975353113528227,3308404038621067278
18659591,1709165395,2566291542170907666736,4255238950495977951378411665,7670441387598692959746,10236732929769500529369,190597414060699734590936,549801274019669912450,4352942151063806837758084238,378236491391899138343522,616022686705909132787143587164482582316,2598606311461919073470325650208763324,-4417199581126,-4419718277638,1,2,18661991,18661991,354084748036063826158,4892377973320351545282,956734465513348661248,1573321920182134505472,331643762881389456294640,1968744393075387515,331477990734907983162602,1969630483103812764,0.0005001000100004482,-0.00044987627680748155,38899956231400912240526,25280208745928492401307,1454171506966417521123,5861284167102748834,0,0,0,0,0,0,0,0,0,0,0,0,111961867891662817854454,1597864887474363140435,1709165394,-1701805034,891771148976926484,3308404038621067278
18661991,1709194440,2566543090788586316051,4352695310020860625869068482,7670441387598692959746,10236984478387179176224,186334538060228690150405,562407014296335063315,4315550785008477543094264252,379438242172782790917641,616547782168995630535467818725599621580,2599682112947522932683895303872397758,-4418897623834,-4421411163406,1,2,18661991,18661991,354084748036063826158,4892377973320351545282,956734465513348661248,1573321920182134505472,332075158550144143053547,1966088514058151563,331477990734907983162602,1969630483103812764,0.001801530816306185,-0.0017982911394017753,38899956231400912240526,25280208745928492401307,1454171506966417521123,5861284167102748834,0,0,0,0,0,0,0,0,0,0,0,0,110896619636749586388059,1601035431100471596101,1709194439,-3400557230,1143319766655575799,3308404038621067278
18664391,1709223538,2830158938746158294402,4175017985685541425311745452,8454523443773117452087,11284682382519165402287,214146298959542794875644,594659151678342451950,4379864448403358763700726843,383301696362593890022040,617281015124008228223334145479018886505,2602741427363198331194277423995465074,-4420586439658,-4423096393114,3,4,18669191,18669191,185554750815194095408,11342079793915289706120,2937851152207775268864,3647428068883914293248,768470842061788591988572,1032166156597953045,768470842061788591988572,1032166156597953045,0.0,0.0,90182404131977565354897,58607491152572355345297,3198528311517869461213,3071550325497278466,0,0,1,1,0,0,354084748036063826158,4892377973320351545282,0,0,1024185851412704100246,11021525624104613311,202497039327753376761082,3350738300709553424027,1709223537,-5089386983,3675011193609824504,6954997251785638502
18666791,1709252583,2830889847390962956936,4379420646897662545998988399,8454523443773117452087,11285413291163970057674,204164575719933454891695,623813179653112753683,4413535930534076352491843460,400261157422449480983508,617648824578933987801572772891235003382,2604304555865379018397708124561565987,-4422275697274,-4424776923622,3,4,18669191,18669191,185554750815194095408,11342079793915289706120,2937851152207775268864,3647428068883914293248,771627882174834074840598,1027943149582546365,768470842061788591988572,1032166156597953045,0.004108210670134449,-0.004091402327437099,90182404131977565354897,58607491152572355345297,3198528311517869461213,3071550325497278466,0,0,1,1,0,0,354084748036063826158,4892377973320351545282,0,0,1024185851412704100246,11021525624104613311,200003564619546152951052,3358080298260466106652,1709252582,-6799200783,4405919838414487038,6954997251785638502
18669191,1709281616,2831677729138228095135,4414522778062858969302077199,8454523443773117452087,11286201172911235188169,202555298873884235268780,628857095438079526026,4394671569614839289010287907,401027387876498439261187,618482517474527021189940061125649238316,2606686149302398822944204138380531012,-4423957617358,-4426450635970,3,4,18669191,18669191,185554750815194095408,11342079793915289706120,2937851152207775268864,3647428068883914293248,771743629250716633173228,1027840365545991766,768470842061788591988572,1032166156597953045,0.004258830667078106,-0.0041909832291141536,90182404131977565354897,58607491152572355345297,3198528311517869461213,3071550325497278466,0,0,1,1,0,0,354084748036063826158,4892377973320351545282,0,0,1024185851412704100246,11021525624104613311,199610478752154807543018,3359378427428090629463,1709281615,-8480553155,5193801585679625237,6954997251785638502
18671591,1709310653,3782084324158469371335,4077803173081698712300278738,11293927004824798831564,15076011328983120786216,292913763843312966897613,775948916190939177994,4364240307668072471005706480,384729286861362736105907,618854200640107570565230313931893305582,2607426116618050530353389084522190449,-4425633948862,-4428134562718,5,6,18676391,18676391,151127159377351043938,24850432099302959684981,7052643823838983880704,7990316789313792114688,1683715229299970949714448,840659366396096462,1683715229299970949714448,840659366396096462,0.0,0.0,197589132782849737615683,128407501349001901385660,7264955276000767315299,2501658801715633006,0,0,2,2,0,0,539639498851257921566,16234457767235641251402,0,0,4743946559593256722522,62967485611315412862,399479237082162154312927,7462117456623107716417,1709310652,-10157693279,9993835565074601502,11826278032974981428
18673991,1709339722,3783564991147211653579,4362965480125048910382575830,11293927004824798831564,15077491995971863053982,273795883008027070277379,830292853168762861843,4383714674446241448679417237,401812626916757418377641,619001881957767000121505213618000862491,2608122440857194712389542281969236469,-4427312226322,-4429818879262,5,6,18676391,18676391,151127159377351043938,24850432099302959684981,7052643823838983880704,7990316789313792114688,1691139526576959396250437,836968774965451814,1683715229299970949714448,840659366396096462,0.004409473257585894,-0.0043901151621805745,197589132782849737615683,128407501349001901385660,7264955276000767315299,2501658801715633006,0,0,2,2,0,0,539639498851257921566,16234457767235641251402,0,0,4743946559593256722522,62967485611315412862,394703320757596085265869,7475811677918138045444,1709339721,-11882607091,11474502553816883746,11826278032974981428
18676391,1709368730,3784973165934330784820,4364589297345199355568028077,11293927004824798831564,15078900170758982171454,273719580898924861075411,830679447970060652307,4369084937280530461658129343,401521016756101548230909,619293540523779963923714447725877485565,2608827207065463763847634913120763005,-4428993673834,-4431496774150,5,6,18676391,18676391,151127159377351043938,24850432099302959684981,7052643823838983880704,7990316789313792114688,1694609744856918312838635,835254832064170336,1683715229299970949714448,840659366396096462,0.006470521479738034,-0.006428922995404651,197589132782849737615683,128407501349001901385660,7264955276000767315299,2501658801715633006,0,0,2,2,0,0,539639498851257921566,16234457767235641251402,0,0,4743946559593256722522,62967485611315412862,394703320757596085265869,7475966798549499678131,1709368729,-13564684681,12882677340936014987,11826278032974981428
