number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
17998182,1708989018,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18000582,1708989022,68470009944875227,1951759732045824167944981381086721,22821893697174076,91291903542053340,3705830001157,2248946025513484902422,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52152012564,128080374211468159551,52152012564,128080374211468159551,0.0,0.0,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178243192649083449207,1708989021,809627,1532113819201,3116629244056
18002982,1709017958,68470153705735785,1951763829995552921566031488714499,22821893697174076,91292047302913741,3705828056046,2248954288949844913909,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52141583725,128099586747893278344,52152012564,128080374211468159551,-0.0001999700200869814,0.00015000374993756616,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178250275659577263868,1709017957,5853057797,1675874679759,3116629244056
18005382,1709046894,68470457077701342,1951772477711343856147296589556825,22821893697174076,91292350674878965,3705823951396,2248971726950265948771,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52136370088,128112396706568067672,52152012564,128080374211468159551,-0.00029994002591571256,0.0002500187503124973,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178265222661308881993,1709046893,11705306014,1979246645316,3116629244056
18007782,1709075866,68470951291750451,1951786565442320364644937238935391,22821893697174076,91292844888927533,3705817264712,2249000134808602476902,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52128550610,128131614046487533807,52152012564,128080374211468159551,-0.0004498762913743848,0.00040006000400016895,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178289572509386036302,1709075865,17564835215,2473460694425,3116629244056
18010182,1709104958,68471713382787698,1951808289093300541809428636925278,22821893697174076,91293606979963945,3705806953859,2249043940816354357992,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52115520753,128170057374778033076,52152012564,128080374211468159551,-0.0006997200914388157,0.0007002100350035345,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178327120958791936812,1709104957,23448634255,3235551731672,3116629244056
18012582,1709134050,68472871556125604,1951841303198095822653748298514769,22821893697174076,91294765153300583,3705791284576,2249110514962406765520,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52097284424,128208512237220357787,52152012564,128080374211468159551,-0.001049396510495848,0.0010004501200209237,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3897216643039,2178384185299738988487,1709134049,29332433413,4393725069578,3116629244056
18014982,1709162975,68474683379590856,1959062204258680257190567168112457,22821893697174076,91296576976763850,3692205393982,2257475973914829431772,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,18048582,18048582,31209203960758031486,204442152227,8359574812120456192,66938809136,52097284424,128214922502579591039,52152012564,128080374211468159551,-0.001049396510495848,0.0010504988913389024,182712987841,935087220786,178167903154035589892,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3887045274518,2184669643524556467784,1709162974,35182486383,6205548534830,3116629244056
18017382,1709192130,68617039243979124,1952764331093297049573886682833706,22831811800773343,91448850944584593,3710291256868,2253971928377121484924,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,3,2,18065382,18048582,32657226905600294406,204442152227,8900404738494052352,66938809136,52820663704,128285456578403888150,52820663704,128080374211468159551,0.0,0.0016012005601819812,179075129185,935087220786,182419851356826845136,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,149069291101250,0,0,0,3898114232907,2186987211176271908223,1709192129,41081214238,8747709406975,3767542004829
18019782,1709221078,68620066378560411,1952850479963911209570109516961992,22831811800773343,91451878079162564,3710250391942,2254145979573107027507,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,3,2,18065382,18048582,32657226905600294406,204442152227,8900404738494052352,66938809136,52804820673,128317530347940888671,52820663704,128080374211468159551,-0.0002999400213670178,0.001851619640657498,179075129185,935087220786,182419851356826845136,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,149069291101250,0,0,0,3898114232907,2187136436164969708115,1709221077,46936179724,11774843988262,3767542004829
