number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
17998182,1708979259,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18000582,1708979263,68469604669127893,1951443032806769693274515711467642,22821932812813057,91291537381945388,3706416553431,2248572085035314359397,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207270082750,30862587424466075869,207270082750,30862587424466075869,0.0,0.0,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369069897984591525310,1708979262,807169,1230104167711,3067551147619
18002982,1709008199,68469748452427048,1951447130755322571491327181225572,22821932812813057,91291681165244386,3706414607686,2248580348429403130302,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207228634950,30867216928312519782,207270082750,30862587424466075869,-0.0001999700074901689,0.00015000374993756616,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369076980951129577728,1709008198,5852968531,1373887466866,3067551147619
18005382,1709037135,68470051871614788,1951455778464956596664103345339641,22821932812813057,91291984584431793,3706410501699,2248597786333217103394,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207218274296,30868760250576843328,207270082750,30862587424466075869,-0.00024995625665136245,0.0002000099999999172,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369091927853758230696,1709037134,11705129939,1677306654606,3067551147619
18007782,1709066107,68470546162375146,1951469866179719119561626551535283,22821932812813057,91292478875191610,3706403812841,2248626194021726083371,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207187195439,30873390680370351569,207270082750,30862587424466075869,-0.0003999000236806216,0.00035004375218750106,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369116277529723091789,1709066106,17564572224,2171597414964,3067551147619
18010182,1709095199,68471308371206290,1951491589791535888295533889556847,22821932812813057,91293241084021919,3706393498642,2248669999739096636050,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207135407703,30882653623807056477,207270082750,30862587424466075869,-0.0006497563237933823,0.000650178776814947,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369153825689303678298,1709095198,23448283988,2933806246108,3067551147619
18012582,1709124291,68472466722466937,1951524603805682106067259711678993,22821932812813057,91294399435281297,3706377824289,2248736573381192371951,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207073279507,30891919346404689961,207270082750,30862587424466075869,-0.000949501444631462,0.000950403850953796,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630095570699,2369210889536106456867,1709124290,29331995869,4092157506755,3067551147619
18014982,1709153216,68474284065486575,1959061760132520836014250329324298,22821932812813057,91296216778298945,3692191663911,2257466555568965100199,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,207073279507,30891919346404689961,207270082750,30862587424466075869,-0.000949501444631462,0.000950403850953796,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3619474064214,2375769769061966487400,1709153215,35181933147,5909500526393,3067551147619
18017382,1709182369,68476822998405986,1951335154838374445639109095443981,22821932812813057,91298755711215575,3706914538439,2248625563923947032237,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,206959426209,30907368395578761587,207270082750,30862587424466075869,-0.0014988006801478493,0.0014509791579297993,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630542331291,2369154451476916064332,1709182368,41080256120,8448433445804,3067551147619
18019782,1709211317,68479846062141095,1951421300928151018848090896731489,22821932812813057,91301778774947372,3706873632660,2248799293836764354910,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,18048582,18048582,119119079945969081922,55707904776,59559539972984545280,27853952388,206928386175,30913550178331561295,207270082750,30862587424466075869,-0.0016485571408400013,0.0016512793682712523,526409556635,323834962908,577992891320165415467,104624503534022488570,0,0,0,0,0,0,0,0,0,0,0,0,3630542331291,2369303366725408286935,1709211316,46934787387,11471497180913,3067551147619
