number,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1
17998182,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
18000582,68471536267773179,1951328351288091581032987935801617,22821819442829674,91293355610605300,3706708207265,2248484723536617931105,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18002982,68471680063562958,1951332449236183388181770637787335,22821819442829674,91293499406394921,3706706261302,2248492987123731317381,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18005382,68471983509060213,1951341096943451832841800371911439,22821819442829674,91293802851891844,3706702154853,2248510425432072217769,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18007782,68472477842599576,1951355184652052079507723158126249,22821819442829674,91294297185430665,3706695465245,2248538833774940277456,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18010182,68473240117234455,1951376908249733460194857331646430,22821819442829674,91295059460064709,3706685149891,2248582640492036029928,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18012582,68474398568113667,1951409922231416896261749883797478,22821819442829674,91296217910942653,3706669473789,2248649215631368470591,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18014982,68476223531381335,1959013417972016361432090403795767,22821819442829674,91298042874208322,3692356627939,2257456002377404915468,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18017382,68478753716668946,1951266729090902701695826618632335,22821819442829674,91300573059493161,3707118320709,2248591471824776241096,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18019782,68481776966989225,1951352875047765200290282607040973,22821819442829674,91303596309810129,3707077412327,2248765205545078423757,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18022182,68485129885268235,1951448414722892208270611368357623,22821819442829674,91306949228085466,3707032047348,2248957891611472049985,1900380430172218759817732408229809,35289008993602712715,2433656485737655046012505176910608,1176264979900256587367406814359334301203418,14588193629387,14597013511055,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18024582,69533514470534940,1900501626934263173727801142792284,23153315420830912,92686829789841966,3863931032443,2223344139519318714927,1911416229524741155073074053355221,37377134134273998763,2433812808103935871895623816945330,1176379063282412305136667437170734265887149,14594083810391,14602858330787,3,2,1,0,0,0,168421228651224017576,0,0,0,1368473176032868,0,0,0
